NOMBRE;APELLIDOS;LEGISLATURA;FECHAINICIOLEGISLATURA;FECHAFINLEGISLATURA;LEGISLATURAACTUAL
Guillermo;Mariscal Anaya;Leg. VIII;02/04/2004;01/04/2008;N
Guillermo;Mariscal Anaya;Leg. IX;01/04/2008;13/12/2011;N
Guillermo;Mariscal Anaya;Leg. X;13/12/2011;13/01/2016;N
Guillermo;Mariscal Anaya;Leg. XI;13/01/2016;19/07/2016;N
Guillermo;Mariscal Anaya;Leg. XII;19/07/2016;21/05/2019;N
Guillermo;Mariscal Anaya;Leg. XIII;21/05/2019;03/12/2019;N
Guillermo;Mariscal Anaya;Leg. XIV;03/12/2019;17/08/2023;N
Guillermo;Mariscal Anaya;Leg. XV;17/08/2023;;S
Margarita;Mariscal de Gante Mirón;Leg. VII;05/04/2000;02/04/2004;N
Manuel;Mariscal Zabala;Leg. XIII;21/05/2019;03/12/2019;N
Manuel;Mariscal Zabala;Leg. XIV;03/12/2019;17/08/2023;N
Manuel;Mariscal Zabala;Leg. XV;17/08/2023;;S
José Javier;Mármol Peñalver;Leg. IX;01/04/2008;13/12/2011;N
Carmen;Marón Beltrán;Leg. VI;27/03/1996;05/04/2000;N
Carmen;Marón Beltrán;Leg. VII;05/04/2000;02/04/2004;N
Carmen;Marón Beltrán;Leg. VIII;02/04/2004;01/04/2008;N
Carmen;Marón Beltrán;Leg. IX;01/04/2008;13/12/2011;N
Javier;Maroto Aranzábal;Leg. XII;19/07/2016;21/05/2019;N
Reyes;Maroto Illera;Leg. XIII;21/05/2019;03/12/2019;N
Reyes;Maroto Illera;Leg. XIV;03/12/2019;17/08/2023;N
Amador;Marqués Atés;Leg. XV;17/08/2023;;S
Adriano;Marqués de Magallanes;Leg. III;15/07/1986;21/11/1989;N
Antonio;Marquet Artola;Leg. IV;21/11/1989;29/06/1993;N
Francisco;Márquez de la Rubia;Leg. IX;01/04/2008;13/12/2011;N
Francisco;Márquez de la Rubia;Leg. X;13/12/2011;13/01/2016;N
Antonio;Márquez Fernández;Leg. I;23/03/1979;18/11/1982;N
María;Márquez Guerrero;Leg. XIII;21/05/2019;03/12/2019;N
María;Márquez Guerrero;Leg. XIV;03/12/2019;17/08/2023;N
Luis;Marquínez Marquínez;Leg. VI;27/03/1996;05/04/2000;N
Luis;Marquínez Marquínez;Leg. VII;05/04/2000;02/04/2004;N
Luis;Marquínez Marquínez;Leg. VIII;02/04/2004;01/04/2008;N
María Ángeles;Marra Domínguez;Leg. XIII;21/05/2019;03/12/2019;N
María Ángeles;Marra Domínguez;Leg. XIV;03/12/2019;17/08/2023;N
Santiago;Marraco Solana;Leg. I;23/03/1979;18/11/1982;N
Santiago;Marraco Solana;Leg. II;18/11/1982;15/07/1986;N
María;Marrodán Funes;Leg. XIII;21/05/2019;03/12/2019;N
María;Marrodán Funes;Leg. XIV;03/12/2019;17/08/2023;N
Jordi;Marsal Muntalá;Leg. II;18/11/1982;15/07/1986;N
Jordi;Marsal Muntalá;Leg. III;15/07/1986;21/11/1989;N
Jordi;Marsal Muntalá;Leg. IV;21/11/1989;29/06/1993;N
Jordi;Marsal Muntalá;Leg. V;29/06/1993;27/03/1996;N
Jordi;Marsal Muntalá;Leg. VI;27/03/1996;05/04/2000;N
Jordi;Marsal Muntala;Leg. VII;05/04/2000;02/04/2004;N
Jordi;Marsal Muntala;Leg. VIII;02/04/2004;01/04/2008;N
Remedios;Martel Gómez;Leg. VIII;02/04/2004;01/04/2008;N
Jordi;Martí i Galbis;Leg. VII;05/04/2000;02/04/2004;N
Nacho;Martín Blanco;Leg. XV;17/08/2023;;S
Elena Irene;Martín Crevillén;Leg. VI;27/03/1996;05/04/2000;N
Francisco Javier;Martín del Burgo Simarro;Leg. III;15/07/1986;21/11/1989;N
Francisco Javier;Martín del Burgo Simarro;Leg. IV;21/11/1989;29/06/1993;N
Francisco Javier;Martín del Burgo Simarro;Leg. V;29/06/1993;27/03/1996;N
Pedro Samuel;Martín García;Leg. XV;17/08/2023;;S
Lucía;Martín González;Leg. XI;13/01/2016;19/07/2016;N
Lucía;Martín González;Leg. XII;19/07/2016;21/05/2019;N
María Guadalupe;Martín González;Leg. IX;01/04/2008;13/12/2011;N
María Guadalupe;Martín González;Leg. X;13/12/2011;13/01/2016;N
María Guadalupe;Martín González;Leg. XI;13/01/2016;19/07/2016;N
María Guadalupe;Martín González;Leg. XII;19/07/2016;21/05/2019;N
Telmo;Martín González;Leg. X;13/12/2011;13/01/2016;N
Rafael;Martín Hernández;Leg. Const.;14/07/1977;23/03/1979;N
Marta;Martín Llaguno;Leg. XI;13/01/2016;19/07/2016;N
Marta;Martín Llaguno;Leg. XII;19/07/2016;21/05/2019;N
Marta;Martín Llaguno;Leg. XIII;21/05/2019;03/12/2019;N
Marta;Martín Llaguno;Leg. XIV;03/12/2019;17/08/2023;N
Pedro Antonio;Martín Marín;Leg. VII;05/04/2000;02/04/2004;N
Andreu;Martín Martínez;Leg. XV;17/08/2023;;S
María Eugenia;Martín Mendizábal;Leg. VIII;02/04/2004;01/04/2008;N
Adán Pablo;Martín Menis;Leg. V;29/06/1993;27/03/1996;N
Antonio;Martín Mesa;Leg. V;29/06/1993;27/03/1996;N
César;Martín Montes;Leg. I;23/03/1979;18/11/1982;N
José María;Martín Oviedo;Leg. Const.;14/07/1977;23/03/1979;N
José María;Martín Oviedo;Leg. I;23/03/1979;18/11/1982;N
Pablo;Martín Peré;Leg. IX;01/04/2008;13/12/2011;N
Pablo;Martín Peré;Leg. X;13/12/2011;13/01/2016;N
María Teresa;Martín Pozo;Leg. X;13/12/2011;13/01/2016;N
María;Martín Revuelta;Leg. X;13/12/2011;13/01/2016;N
Enrique Luis;Martín Rodríguez;Leg. X;13/12/2011;13/01/2016;N
Margarita;Martín Rodríguez;Leg. XV;17/08/2023;;S
Martiniano;Martín Sánchez;Leg. I;23/03/1979;18/11/1982;N
Miguel Ángel;Martín Soledad;Leg. VII;05/04/2000;02/04/2004;N
Miguel Ángel;Martín Soledad;Leg. VIII;02/04/2004;01/04/2008;N
Alfonso Tomás;Martín Suárez;Leg. II;18/11/1982;15/07/1986;N
Eduardo;Martín Toval;Leg. Const.;14/07/1977;23/03/1979;N
Eduardo;Martín Toval;Leg. I;23/03/1979;18/11/1982;N
Eduardo;Martín Toval;Leg. II;18/11/1982;15/07/1986;N
Eduardo;Martín Toval;Leg. III;15/07/1986;21/11/1989;N
Eduardo;Martín Toval;Leg. IV;21/11/1989;29/06/1993;N
Eduardo;Martín Toval;Leg. V;29/06/1993;27/03/1996;N
Carlos;Martín Urriza;Leg. XV;17/08/2023;;S
Francesca;Martín Vigil;Leg. VII;05/04/2000;02/04/2004;N
Emilio;Martín Villa;Leg. Const.;14/07/1977;23/03/1979;N
Rodolfo;Martín Villa;Leg. I;23/03/1979;18/11/1982;N
Rodolfo;Martín Villa;Leg. II;18/11/1982;15/07/1986;N
Rodolfo;Martín Villa;Leg. IV;21/11/1989;29/06/1993;N
Rodolfo;Martín Villa;Leg. V;29/06/1993;27/03/1996;N
Rodolfo;Martín Villa;Leg. VI;27/03/1996;05/04/2000;N
Gloria;Martín Vivas;Leg. VII;05/04/2000;02/04/2004;N
Pedro;Martínez Arévalo;Leg. IV;21/11/1989;29/06/1993;N
Verónica;Martínez Barbero;Leg. XV;17/08/2023;;S
José Luis;Martínez Blasco;Leg. IV;21/11/1989;29/06/1993;N
José Luis;Martínez Blasco;Leg. V;29/06/1993;27/03/1996;N
Guillermo;Martínez Casañ;Leg. V;29/06/1993;27/03/1996;N
Guillermo;Martínez Casañ;Leg. VI;27/03/1996;05/04/2000;N
Guillermo;Martínez Casañ;Leg. VII;05/04/2000;02/04/2004;N
Inmaculada;Martínez Cervera;Leg. VII;05/04/2000;02/04/2004;N
Miguel;Martínez Cuadrado;Leg. III;15/07/1986;21/11/1989;N
Rubén;Martínez Dalmau;Leg. XI;13/01/2016;19/07/2016;N
Carlos;Martínez de Tejada Pérez;Leg. XIV;03/12/2019;17/08/2023;N
José Enrique;Martínez del Río;Leg. II;18/11/1982;15/07/1986;N
José Enrique;Martínez del Río;Leg. III;15/07/1986;21/11/1989;N
José;Martínez Emperador;Leg. Const.;14/07/1977;23/03/1979;N
María Valentina;Martínez Ferro;Leg. X;13/12/2011;13/01/2016;N
María Valentina;Martínez Ferro;Leg. XII;19/07/2016;21/05/2019;N
María Valentina;Martínez Ferro;Leg. XIII;21/05/2019;03/12/2019;N
María Valentina;Martínez Ferro;Leg. XIV;03/12/2019;17/08/2023;N
Raimon;Martínez Fraile;Leg. VII;05/04/2000;02/04/2004;N
Juan José;Martínez Galán;Leg. IX;01/04/2008;13/12/2011;N
Manuel;Martínez García de Otazo;Leg. II;18/11/1982;15/07/1986;N
Antonio;Martínez Gómez;Leg. XV;17/08/2023;;S
Belarmina;Martínez González;Leg. VI;27/03/1996;05/04/2000;N
José Luis;Martínez González;Leg. XI;13/01/2016;19/07/2016;N
José Luis;Martínez González;Leg. XII;19/07/2016;21/05/2019;N
José Luis;Martínez González;Leg. XIII;21/05/2019;03/12/2019;N
Carlos;Martínez Gorriarán;Leg. X;13/12/2011;13/01/2016;N
María Carmen;Martínez Granados;Leg. XIII;21/05/2019;03/12/2019;N
María Carmen;Martínez Granados;Leg. XIV;03/12/2019;17/08/2023;N
Lander;Martínez Hierro;Leg. XV;17/08/2023;;S
Antonia;Martínez Higueras;Leg. VIII;02/04/2004;01/04/2008;N
Efrén Luciano;Martínez Izquierdo;Leg. IV;21/11/1989;29/06/1993;N
Efrén Luciano;Martínez Izquierdo;Leg. V;29/06/1993;27/03/1996;N
Efrén Luciano;Martínez Izquierdo;Leg. VI;27/03/1996;05/04/2000;N
Ana;Martínez Labella;Leg. XV;17/08/2023;;S
Enrique;Martínez Lagares;Leg. Const.;14/07/1977;23/03/1979;N
José María;Martínez Laseca;Leg. V;29/06/1993;27/03/1996;N
José María;Martínez Laseca;Leg. VI;27/03/1996;05/04/2000;N
José María;Martínez Laseca;Leg. VII;05/04/2000;02/04/2004;N
Cándida;Martínez López;Leg. IX;01/04/2008;13/12/2011;N
Fernando;Martínez Maillo;Leg. VII;05/04/2000;02/04/2004;N
Enrique;Martínez Martínez;Leg. II;18/11/1982;15/07/1986;N
Enrique;Martínez Martínez;Leg. III;15/07/1986;21/11/1989;N
Enrique;Martínez Martínez;Leg. IV;21/11/1989;29/06/1993;N
Enrique;Martínez Martínez;Leg. V;29/06/1993;27/03/1996;N
Miguel Ángel;Martínez Martínez;Leg. Const.;14/07/1977;23/03/1979;N
Miguel Ángel;Martínez Martínez;Leg. I;23/03/1979;18/11/1982;N
Miguel Ángel;Martínez Martínez;Leg. II;18/11/1982;15/07/1986;N
Miguel Ángel;Martínez Martínez;Leg. III;15/07/1986;21/11/1989;N
Miguel Ángel;Martínez Martínez;Leg. IV;21/11/1989;29/06/1993;N
Miguel Ángel;Martínez Martínez;Leg. V;29/06/1993;27/03/1996;N
Miguel Angel;Martínez Martínez;Leg. VI;27/03/1996;05/04/2000;N
Luis;Martínez Noval;Leg. II;18/11/1982;15/07/1986;N
Luis;Martínez Noval;Leg. III;15/07/1986;21/11/1989;N
Luis;Martínez Noval;Leg. IV;21/11/1989;29/06/1993;N
Luis;Martínez Noval;Leg. V;29/06/1993;27/03/1996;N
Luis;Martínez Noval;Leg. VI;27/03/1996;05/04/2000;N
Luis;Martínez Noval;Leg. VII;05/04/2000;02/04/2004;N
Manuel;Martínez Núñez;Leg. III;15/07/1986;21/11/1989;N
Manuel;Martínez Núñez;Leg. IV;21/11/1989;29/06/1993;N
Isidro Manuel;Martínez Oblanca;Leg. XI;13/01/2016;19/07/2016;N
Isidro Manuel;Martínez Oblanca;Leg. XII;19/07/2016;21/05/2019;N
Isidro Manuel;Martínez Oblanca;Leg. XIV;03/12/2019;17/08/2023;N
José;Martínez Olmos;Leg. X;13/12/2011;13/01/2016;N
Carmen;Martínez Ramírez;Leg. XV;17/08/2023;;S
María Rosa;Martínez Rodríguez;Leg. XI;13/01/2016;19/07/2016;N
María Rosa;Martínez Rodríguez;Leg. XII;19/07/2016;21/05/2019;N
Santiago;Martínez Rodríguez;Leg. X;13/12/2011;13/01/2016;N
Teófila;Martínez Saiz;Leg. IV;21/11/1989;29/06/1993;N
Teófila;Martínez Saiz;Leg. V;29/06/1993;27/03/1996;N
Teófila;Martínez Saiz;Leg. VI;27/03/1996;05/04/2000;N
Teófila;Martínez Saiz;Leg. IX;01/04/2008;13/12/2011;N
Teófila;Martínez Saiz;Leg. X;13/12/2011;13/01/2016;N
Teófila;Martínez Saiz;Leg. XI;13/01/2016;19/07/2016;N
Teófila;Martínez Saiz;Leg. XII;19/07/2016;21/05/2019;N
Joaquín;Martínez Salmerón;Leg. XIV;03/12/2019;17/08/2023;N
Joaquín;Martínez Salmerón;Leg. XV;17/08/2023;;S
Angel;Martínez Sanjuan;Leg. II;18/11/1982;15/07/1986;N
Ángel;Martínez Sanjuan;Leg. III;15/07/1986;21/11/1989;N
Angel;Martínez Sanjuan;Leg. IV;21/11/1989;29/06/1993;N
Angel;Martínez Sanjuán;Leg. V;29/06/1993;27/03/1996;N
Angel;Martínez Sanjuán;Leg. VI;27/03/1996;05/04/2000;N
Ángel;Martínez Sanjuán;Leg. VII;05/04/2000;02/04/2004;N
Ángel;Martínez Sanjuán;Leg. VIII;02/04/2004;01/04/2008;N
Santiago;Martínez Saurí;Leg. IV;21/11/1989;29/06/1993;N
María Luz;Martínez Seijo;Leg. XI;13/01/2016;19/07/2016;N
María Luz;Martínez Seijo;Leg. XII;19/07/2016;21/05/2019;N
María Luz;Martínez Seijo;Leg. XIII;21/05/2019;03/12/2019;N
María Luz;Martínez Seijo;Leg. XIV;03/12/2019;17/08/2023;N
María Luz;Martínez Seijo;Leg. XV;17/08/2023;;S
José Joaquín;Martínez Sieso;Leg. IV;21/11/1989;29/06/1993;N
José Joaquín;Martínez Sieso;Leg. V;29/06/1993;27/03/1996;N
José Joaquín;Martínez Sieso;Leg. VIII;02/04/2004;01/04/2008;N
José Joaquín;Martínez Sieso;Leg. IX;01/04/2008;13/12/2011;N
Angel;Martínez Soriano;Leg. Const.;14/07/1977;23/03/1979;N
Juan de Dios;Martínez Soriano;Leg. IX;01/04/2008;13/12/2011;N
Francisco;Martínez Vázquez;Leg. XII;19/07/2016;21/05/2019;N
Rafael;Martínez-Campillo García;Leg. III;15/07/1986;21/11/1989;N
Rafael;Martínez-Campillo García;Leg. IV;21/11/1989;29/06/1993;N
Fernando;Martínez-Maillo Toribio;Leg. XI;13/01/2016;19/07/2016;N
Fernando;Martínez-Maíllo Toribio;Leg. XII;19/07/2016;21/05/2019;N
Jesús Roque;Martínez-Pujalte López;Leg. Const.;14/07/1977;23/03/1979;N
Vicente;Martínez-Pujalte López;Leg. V;29/06/1993;27/03/1996;N
Vicente;Martínez-Pujalte López;Leg. VI;27/03/1996;05/04/2000;N
Vicente;Martínez-Pujalte López;Leg. VII;05/04/2000;02/04/2004;N
Vicente;Martínez-Pujalte López;Leg. VIII;02/04/2004;01/04/2008;N
Vicente;Martínez-Pujalte López;Leg. IX;01/04/2008;13/12/2011;N
Vicente;Martínez-Pujalte López;Leg. X;13/12/2011;13/01/2016;N
Gervasio;Martínez-Villaseñor García;Leg. Const.;14/07/1977;23/03/1979;N
Gervasio;Martínez-Villaseñor García;Leg. I;23/03/1979;18/11/1982;N
Gervasio;Martínez-Villaseñor García;Leg. IV;21/11/1989;29/06/1993;N
Gervasio;Martínez-Villaseñor García;Leg. V;29/06/1993;27/03/1996;N
Gervasio;Martínez-Villaseñor García;Leg. VI;27/03/1996;05/04/2000;N
Antonio;Martinón Cejas;Leg. V;29/06/1993;27/03/1996;N
Antonio;Martinón Cejas;Leg. VI;27/03/1996;05/04/2000;N
Sebastián;Martín-Retortillo y Baquer;Leg. I;23/03/1979;18/11/1982;N
José Alberto;Martín-Toledano Suárez;Leg. X;13/12/2011;13/01/2016;N
José Alberto;Martín-Toledano Suárez;Leg. XI;13/01/2016;19/07/2016;N
José Alberto;Martín-Toledano Suárez;Leg. XII;19/07/2016;21/05/2019;N
Mª del Carmen;Martorell Pallás;Leg. VII;05/04/2000;02/04/2004;N
Amparo Rita;Marzal Martínez;Leg. VII;05/04/2000;02/04/2004;N
Manuel;Mas i Estela;Leg. VIII;02/04/2004;01/04/2008;N
Manuel;Mas i Estela;Leg. IX;01/04/2008;13/12/2011;N
Antonio;Masa Godoy;Leg. Const.;14/07/1977;23/03/1979;N
Zenón;Mascareño Alemán;Leg. I;23/03/1979;18/11/1982;N
Enrique de la;Mata Gorostizaga;Leg. I;23/03/1979;18/11/1982;N
Marta Angela;Mata i Garriga;Leg. Const.;14/07/1977;23/03/1979;N
Marta Angela;Mata i Garriga;Leg. I;23/03/1979;18/11/1982;N
Alejandro de la;Mata Menéndez;Leg. IX;01/04/2008;13/12/2011;N
Carmen;Matador de Matos;Leg. VI;27/03/1996;05/04/2000;N
Carmen;Matador de Matos;Leg. VII;05/04/2000;02/04/2004;N
Carmen;Matador de Matos;Leg. VIII;02/04/2004;01/04/2008;N
Jorge Juan;Mataix Hidalgo;Leg. III;15/07/1986;21/11/1989;N
Juan José;Matarí Sáez;Leg. VII;05/04/2000;02/04/2004;N
Juan José;Matarí Sáez;Leg. VIII;02/04/2004;01/04/2008;N
Juan José;Matarí Sáez;Leg. IX;01/04/2008;13/12/2011;N
Juan José;Matarí Sáez;Leg. X;13/12/2011;13/01/2016;N
Juan José;Matarí Sáez;Leg. XI;13/01/2016;19/07/2016;N
Juan José;Matarí Sáez;Leg. XII;19/07/2016;21/05/2019;N
Juan José;Matarí Sáez;Leg. XIII;21/05/2019;03/12/2019;N
Juan José;Matarí Sáez;Leg. XIV;03/12/2019;17/08/2023;N
José Ramón;Mateos Martín;Leg. VIII;02/04/2004;01/04/2008;N
Rafael;Mateos Yuste;Leg. VII;05/04/2000;02/04/2004;N
Jaime Miguel;Mateu Istúriz;Leg. XI;13/01/2016;19/07/2016;N
Jaime Miguel;Mateu Istúriz;Leg. XII;19/07/2016;21/05/2019;N
Jaime Miguel;Mateu Istúriz;Leg. XIV;03/12/2019;17/08/2023;N
Ana;Mato Adrover;Leg. V;29/06/1993;27/03/1996;N
Ana;Mato Adrover;Leg. VI;27/03/1996;05/04/2000;N
Ana;Mato Adrover;Leg. VII;05/04/2000;02/04/2004;N
Ana;Mato Adrover;Leg. VIII;02/04/2004;01/04/2008;N
Ana;Mato Adrover;Leg. IX;01/04/2008;13/12/2011;N
Ana;Mato Adrover;Leg. X;13/12/2011;13/01/2016;N
Gabriel;Mato Adrover;Leg. VII;05/04/2000;02/04/2004;N
Gabriel;Mato Adrover;Leg. IX;01/04/2008;13/12/2011;N
Sergio Carlos;Matos Castro;Leg. XV;17/08/2023;;S
Pablo;Matos Mascareño;Leg. VIII;02/04/2004;01/04/2008;N
Pablo;Matos Mascareño;Leg. IX;01/04/2008;13/12/2011;N
Pablo;Matos Mascareño;Leg. X;13/12/2011;13/01/2016;N
Pablo;Matos Mascareño;Leg. XI;13/01/2016;19/07/2016;N
Pablo;Matos Mascareño;Leg. XII;19/07/2016;21/05/2019;N
José Antonio;Maturana Plaza;Leg. Const.;14/07/1977;23/03/1979;N
José Antonio;Maturana Plaza;Leg. I;23/03/1979;18/11/1982;N
Oskar;Matute García de Jalón;Leg. XII;19/07/2016;21/05/2019;N
Oskar;Matute García de Jalón;Leg. XIII;21/05/2019;03/12/2019;N
Oskar;Matute García de Jalón;Leg. XIV;03/12/2019;17/08/2023;N
Oskar;Matute García de Jalón;Leg. XV;17/08/2023;;S
Abel;Matutes Juan;Leg. II;18/11/1982;15/07/1986;N
Fernando;Maura Barandiarán;Leg. XI;13/01/2016;19/07/2016;N
Fernando;Maura Barandiarán;Leg. XII;19/07/2016;21/05/2019;N
Eduardo Javier;Maura Zorita;Leg. XI;13/01/2016;19/07/2016;N
Eduardo Javier;Maura Zorita;Leg. XII;19/07/2016;21/05/2019;N
José Carlos;Mauricio Rodríguez;Leg. V;29/06/1993;27/03/1996;N
José Carlos;Mauricio Rodríguez;Leg. VI;27/03/1996;05/04/2000;N
José Carlos;Mauricio Rodríguez;Leg. VII;05/04/2000;02/04/2004;N
Soraya;Mayo Alonso;Leg. XIII;21/05/2019;03/12/2019;N
Jaime;Mayor Oreja;Leg. I;23/03/1979;18/11/1982;N
Jaime;Mayor Oreja;Leg. IV;21/11/1989;29/06/1993;N
Jaime;Mayor Oreja;Leg. VI;27/03/1996;05/04/2000;N
Jaime;Mayor Oreja;Leg. VII;05/04/2000;02/04/2004;N
Jaime;Mayor Oreja;Leg. VIII;02/04/2004;01/04/2008;N
Federico;Mayor Zaragoza;Leg. Const.;14/07/1977;23/03/1979;N
Victorino;Mayoral Cortés;Leg. II;18/11/1982;15/07/1986;N
Victorino;Mayoral Cortés;Leg. III;15/07/1986;21/11/1989;N
Victorino;Mayoral Cortés;Leg. IV;21/11/1989;29/06/1993;N
Victorino;Mayoral Cortés;Leg. VII;05/04/2000;02/04/2004;N
Victorino;Mayoral Cortés;Leg. VIII;02/04/2004;01/04/2008;N
Alberto;Mayoral de Lamo;Leg. XV;17/08/2023;;S
Rafael;Mayoral Perales;Leg. XI;13/01/2016;19/07/2016;N
Rafael;Mayoral Perales;Leg. XII;19/07/2016;21/05/2019;N
Rafael;Mayoral Perales;Leg. XIII;21/05/2019;03/12/2019;N
Rafael;Mayoral Perales;Leg. XIV;03/12/2019;17/08/2023;N
Jesús;Mayoral Pérez;Leg. XV;17/08/2023;;S
Juan José;Mazarrasa Alvear;Leg. III;15/07/1986;21/11/1989;N
José María;Mazón Ramos;Leg. XIII;21/05/2019;03/12/2019;N
José María;Mazón Ramos;Leg. XIV;03/12/2019;17/08/2023;N
Rosa María;Medel Pérez;Leg. XIV;03/12/2019;17/08/2023;N
José Luis Tomás;Mederos Aparicio;Leg. I;23/03/1979;18/11/1982;N
Guillermo;Medina González;Leg. I;23/03/1979;18/11/1982;N
Manuel;Medina Ortega;Leg. II;18/11/1982;15/07/1986;N
Manuel;Medina Ortega;Leg. III;15/07/1986;21/11/1989;N
María Isabel;Medina Suárez;Leg. XI;13/01/2016;19/07/2016;N
Francisca;Medina Teva;Leg. IX;01/04/2008;13/12/2011;N
Antonio Luis;Medina Toledo;Leg. VI;27/03/1996;05/04/2000;N
Luis Fernando;Medrano y Blasco;Leg. III;15/07/1986;21/11/1989;N
Guillermo Antonio;Meijón Couselo;Leg. X;13/12/2011;13/01/2016;N
Guillermo Antonio;Meijón Couselo;Leg. XI;13/01/2016;19/07/2016;N
Guillermo Antonio;Meijón Couselo;Leg. XII;19/07/2016;21/05/2019;N
Guillermo Antonio;Meijón Couselo;Leg. XIII;21/05/2019;03/12/2019;N
Guillermo Antonio;Meijón Couselo;Leg. XIV;03/12/2019;17/08/2023;N
José Luis;Meilán Gil;Leg. Const.;14/07/1977;23/03/1979;N
José Luis;Meilán Gil;Leg. I;23/03/1979;18/11/1982;N
Carina;Mejías Sánchez;Leg. XIII;21/05/2019;03/12/2019;N
Carina;Mejías Sánchez;Leg. XV;17/08/2023;;S
Joaquín;Melgarejo Moreno;Leg. XV;17/08/2023;;S
José;Melia Goicoechea;Leg. III;15/07/1986;21/11/1989;N
Valle;Mellado Sierra;Leg. XV;17/08/2023;;S
Jesús;Membrado Giner;Leg. VIII;02/04/2004;01/04/2008;N
Jesús;Membrado Giner;Leg. IX;01/04/2008;13/12/2011;N
Joan;Mena Arca;Leg. XI;13/01/2016;19/07/2016;N
Joan;Mena Arca;Leg. XII;19/07/2016;21/05/2019;N
Joan;Mena Arca;Leg. XIII;21/05/2019;03/12/2019;N
Joan;Mena Arca;Leg. XIV;03/12/2019;17/08/2023;N
Ricardo;Mena-Bernal Romero;Leg. III;15/07/1986;21/11/1989;N
Pedro;Menchero Márquez;Leg. I;23/03/1979;18/11/1982;N
Íñigo;Méndez de Vigo Montojo;Leg. XI;13/01/2016;19/07/2016;N
Íñigo;Méndez de Vigo Montojo;Leg. XII;19/07/2016;21/05/2019;N
Daniel;Méndez Guillén;Leg. IX;01/04/2008;13/12/2011;N
Constantino;Méndez Martínez;Leg. V;29/06/1993;27/03/1996;N
Lourdes;Méndez Monasterio;Leg. VIII;02/04/2004;01/04/2008;N
Lourdes;Méndez Monasterio;Leg. IX;01/04/2008;13/12/2011;N
Lourdes;Méndez Monasterio;Leg. X;13/12/2011;13/01/2016;N
Lourdes;Méndez Monasterio;Leg. XIII;21/05/2019;03/12/2019;N
Lourdes;Méndez Monasterio;Leg. XIV;03/12/2019;17/08/2023;N
Lourdes;Méndez Monasterio;Leg. XV;17/08/2023;;S
Cándido;Méndez Rodríguez;Leg. I;23/03/1979;18/11/1982;N
Cándido;Méndez Rodríguez;Leg. II;18/11/1982;15/07/1986;N
Arantza;Mendizábal Gorostiaga;Leg. IV;21/11/1989;29/06/1993;N
Arantza;Mendizábal Gorostiaga;Leg. V;29/06/1993;27/03/1996;N
Arantza;Mendizábal Gorostiaga;Leg. VI;27/03/1996;05/04/2000;N
Arantza;Mendizábal Gorostiaga;Leg. VII;05/04/2000;02/04/2004;N
Arantza;Mendizábal Gorostiaga;Leg. VIII;02/04/2004;01/04/2008;N
Arantza;Mendizábal Gorostiaga;Leg. IX;01/04/2008;13/12/2011;N
Pedro de;Mendizábal y Uriarte;Leg. Const.;14/07/1977;23/03/1979;N
Pepe;Mercadal Baquero;Leg. XV;17/08/2023;;S
María Antonia;Mercant Nadal;Leg. IX;01/04/2008;13/12/2011;N
Carlota;Merchán Mesón;Leg. XII;19/07/2016;21/05/2019;N
Jesús;Merino Delgado;Leg. VII;05/04/2000;02/04/2004;N
Jesús;Merino Delgado;Leg. VIII;02/04/2004;01/04/2008;N
Jesús;Merino Delgado;Leg. IX;01/04/2008;13/12/2011;N
Rafael;Merino López;Leg. VII;05/04/2000;02/04/2004;N
Rafael;Merino López;Leg. VIII;02/04/2004;01/04/2008;N
Rafael;Merino López;Leg. IX;01/04/2008;13/12/2011;N
Rafael;Merino López;Leg. X;13/12/2011;13/01/2016;N
Rafael;Merino López;Leg. XI;13/01/2016;19/07/2016;N
Rafael;Merino López;Leg. XII;19/07/2016;21/05/2019;N
Javier;Merino Martínez;Leg. XIV;03/12/2019;17/08/2023;N
Javier;Merino Martínez;Leg. XV;17/08/2023;;S
Antonio;Merino Santamaría;Leg. IV;21/11/1989;29/06/1993;N
Antonio;Merino Santamaría;Leg. V;29/06/1993;27/03/1996;N
Antonio;Merino Santamaría;Leg. VI;27/03/1996;05/04/2000;N
Antonio;Merino Santamaría;Leg. VII;05/04/2000;02/04/2004;N
José María;Mesa Parra;Leg. I;23/03/1979;18/11/1982;N
Joan;Mesquida Ferrando;Leg. XIII;21/05/2019;03/12/2019;N
Joan;Mesquida Mayans;Leg. XV;17/08/2023;;S
Manuel;Mestre Barea;Leg. XIII;21/05/2019;03/12/2019;N
Manuel;Mestre Barea;Leg. XIV;03/12/2019;17/08/2023;N
Willy Enrique;Meyer Pleite;Leg. VI;27/03/1996;05/04/2000;N
José María;Michavila Núñez;Leg. V;29/06/1993;27/03/1996;N
José María;Michavila Núñez;Leg. VI;27/03/1996;05/04/2000;N
José María;Michavila Núñez;Leg. VII;05/04/2000;02/04/2004;N
José María;Michavila Núñez;Leg. VIII;02/04/2004;01/04/2008;N
José María;Michavila Núñez;Leg. IX;01/04/2008;13/12/2011;N
Julia de;Micheo Carrillo-Albornoz;Leg. X;13/12/2011;13/01/2016;N
Àgueda;Micó Micó;Leg. XV;17/08/2023;;S
César de;Miguel López;Leg. II;18/11/1982;15/07/1986;N
Orlena María;Miguel Muñoz;Leg. XI;13/01/2016;19/07/2016;N
